task,model,model_key,seed,train_dataset,test_dataset,direction,corruption,num_samples,miou,iou_background,iou_crop,iou_weed
segmentation,SegFormer-B0,segformer_b0,2,cropandweed,phenobench,C&W -> PB,gaussian_blur_3,772,0.46140280092863906,0.9453055598875048,0.3807733140125793,0.05812952888583298
segmentation,SegFormer-B0,segformer_b0,2,cropandweed,phenobench,C&W -> PB,low_resolution_0.5,772,0.5606187660107681,0.9771575905890993,0.6089059930526346,0.09579271439057041
segmentation,SegFormer-B0,segformer_b0,2,cropandweed,phenobench,C&W -> PB,jpeg_quality_50,772,0.5005367143760469,0.9659762675501347,0.46111283532541764,0.07452104025258822
segmentation,SegFormer-B0,segformer_b0,2,cropandweed,phenobench,C&W -> PB,brightness_minus_20,772,0.44522709832022805,0.976078906604433,0.3083691681636674,0.05123322019258386
segmentation,SegFormer-B0,segformer_b0,2,cropandweed,phenobench,C&W -> PB,contrast_0.7,772,0.4387615251372346,0.9760725741906413,0.2892890066656,0.05092299455546257
segmentation,SegFormer-B0,segformer_b0,2,phenobench,cropandweed,PB -> C&W,clean,1223,0.38179993578045596,0.9152071727827856,0.14276619687215897,0.08742643768642339
segmentation,SegFormer-B0,segformer_b0,2,phenobench,cropandweed,PB -> C&W,gaussian_blur_3,1223,0.3552923428008082,0.875383630009703,0.11024209791769325,0.08025130047502839
segmentation,SegFormer-B0,segformer_b0,2,phenobench,cropandweed,PB -> C&W,low_resolution_0.5,1223,0.37565544740720697,0.9062260918936373,0.13262470687926867,0.08811554344871494
segmentation,SegFormer-B0,segformer_b0,2,phenobench,cropandweed,PB -> C&W,jpeg_quality_50,1223,0.3663712969899922,0.8932046100876102,0.12471784587230406,0.08119143501006247
segmentation,SegFormer-B0,segformer_b0,2,phenobench,cropandweed,PB -> C&W,brightness_minus_20,1223,0.40699373643320885,0.9406236729382075,0.17900373469066033,0.1013538016707587
segmentation,SegFormer-B0,segformer_b0,2,phenobench,cropandweed,PB -> C&W,contrast_0.7,1223,0.4067446460641271,0.9391635135547813,0.17427777401920977,0.10679265061839002
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,cropandweed,phenobench,C&W -> PB,clean,772,0.5332678157177415,0.92392173742805,0.5232477406214573,0.15263396910371738
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,cropandweed,phenobench,C&W -> PB,gaussian_blur_3,772,0.40369247428421123,0.8140999556740834,0.31954771870865717,0.07742974846989314
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,cropandweed,phenobench,C&W -> PB,low_resolution_0.5,772,0.5072186313073085,0.9115028332578884,0.48124064603994765,0.12891241462408948
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,cropandweed,phenobench,C&W -> PB,jpeg_quality_50,772,0.42405871884153096,0.8635789982359832,0.32522872278825,0.0833684355003597
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,cropandweed,phenobench,C&W -> PB,brightness_minus_20,772,0.3877189750198371,0.897595005081363,0.2170927676809661,0.04846915229718212
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,cropandweed,phenobench,C&W -> PB,contrast_0.7,772,0.4124655219683866,0.9312051876569779,0.25846708457823864,0.04772429366994338
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,phenobench,cropandweed,PB -> C&W,clean,1223,0.43528998683366504,0.9490233655752152,0.19093810239181552,0.1659084925339645
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,phenobench,cropandweed,PB -> C&W,gaussian_blur_3,1223,0.4279118123150025,0.9485966326059927,0.19110285335954705,0.1440359509794677
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,phenobench,cropandweed,PB -> C&W,low_resolution_0.5,1223,0.4339369705535229,0.9490700803567279,0.19223880152378967,0.16050202978005124
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,phenobench,cropandweed,PB -> C&W,jpeg_quality_50,1223,0.43600402721852133,0.9487634323724818,0.18991834605610264,0.16933030322697953
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,phenobench,cropandweed,PB -> C&W,brightness_minus_20,1223,0.44117073891687303,0.9491360794503985,0.18986077178625807,0.18451536551396241
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,0,phenobench,cropandweed,PB -> C&W,contrast_0.7,1223,0.441972513047376,0.9490330559324551,0.18718629770249529,0.18969818550717776
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,cropandweed,phenobench,C&W -> PB,clean,772,0.5559640708704036,0.9262089033425633,0.5431008104568826,0.1985824988117648
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,cropandweed,phenobench,C&W -> PB,gaussian_blur_3,772,0.398849381225794,0.7850069617294082,0.30035168831027403,0.11118949363769952
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,cropandweed,phenobench,C&W -> PB,low_resolution_0.5,772,0.5305337224947121,0.9154545568551697,0.501316800513263,0.17482981011570345
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,cropandweed,phenobench,C&W -> PB,jpeg_quality_50,772,0.459995242650236,0.9015967994115327,0.39087678882706844,0.08751213971210677
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,cropandweed,phenobench,C&W -> PB,brightness_minus_20,772,0.4437308454465405,0.9109150277084438,0.345294359799011,0.07498314883216683
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,cropandweed,phenobench,C&W -> PB,contrast_0.7,772,0.46095734780498776,0.9196200889123589,0.3795464083080909,0.08370554619451354
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,phenobench,cropandweed,PB -> C&W,clean,1223,0.4361300287690438,0.9489921456698703,0.19777316796110742,0.1616247726761538
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,phenobench,cropandweed,PB -> C&W,gaussian_blur_3,1223,0.4350693454409258,0.947202613527938,0.19414974820198122,0.16385567459285805
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,phenobench,cropandweed,PB -> C&W,low_resolution_0.5,1223,0.4354509108526399,0.949002230348802,0.19758841865283427,0.15976208355628368
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,phenobench,cropandweed,PB -> C&W,jpeg_quality_50,1223,0.4375961427218156,0.9486064925376998,0.19713575772193956,0.16704617790580753
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,phenobench,cropandweed,PB -> C&W,brightness_minus_20,1223,0.44595272469954156,0.9489366803378826,0.19691974133979187,0.19200175242094997
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,1,phenobench,cropandweed,PB -> C&W,contrast_0.7,1223,0.4468617999481372,0.9479369588540792,0.1951945635949645,0.1974538773953677
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,cropandweed,phenobench,C&W -> PB,clean,772,0.5314154412534768,0.9465419095465091,0.5529822961094144,0.09472211810450709
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,cropandweed,phenobench,C&W -> PB,gaussian_blur_3,772,0.4473551784803802,0.8835379037023736,0.43854864869693766,0.01997898304182924
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,cropandweed,phenobench,C&W -> PB,low_resolution_0.5,772,0.5473984159599578,0.944869818194088,0.5959851028778047,0.10134032680798065
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,cropandweed,phenobench,C&W -> PB,jpeg_quality_50,772,0.405246199821218,0.887046052334014,0.28232223180317345,0.04637031532646652
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,cropandweed,phenobench,C&W -> PB,brightness_minus_20,772,0.40177059576700164,0.9065407907390934,0.2524683297685234,0.0463026667933879
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,cropandweed,phenobench,C&W -> PB,contrast_0.7,772,0.4096644318942335,0.9572007125616083,0.23213641904476906,0.03965616407632307
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,phenobench,cropandweed,PB -> C&W,clean,1223,0.4440180622209435,0.9495917433231206,0.195522294054265,0.18694014928544478
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,phenobench,cropandweed,PB -> C&W,gaussian_blur_3,1223,0.45569691071740603,0.94898961637398,0.1890879647224207,0.22901315105581727
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,phenobench,cropandweed,PB -> C&W,low_resolution_0.5,1223,0.4507174495747773,0.9496018654333214,0.19424620974248183,0.20830427354852887
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,phenobench,cropandweed,PB -> C&W,jpeg_quality_50,1223,0.443541621979929,0.9492445967633034,0.1947303341417462,0.18664993503473748
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,phenobench,cropandweed,PB -> C&W,brightness_minus_20,1223,0.45102506796053227,0.9496545387718369,0.19387342792623186,0.20954723718352794
segmentation,Mask2Former-Swin-T,mask2former_swin_tiny,2,phenobench,cropandweed,PB -> C&W,contrast_0.7,1223,0.4573282445089331,0.9497761211136514,0.18967047895181227,0.23253813346133564
