task,model,dataset,corruption,corruption_family,severity_value,primary_metric,score,accuracy,balanced_accuracy,macro_f1,ece,brier,high_conf_wrong_0.9,n_samples,clean_score,absolute_drop,retention,loss,miou,iou_background,iou_crop,iou_weed,audit_scope,status
segmentation,U-Net,cropandweed,low_resolution_0.25,low_resolution,0.25,miou,0.5565992534542906,,,,,,,1223,0.5732166180371466,0.01661736458285601,0.9710103230437414,0.4121147544333236,0.5565992534542906,0.951730441611274,0.20956778690597413,0.5084995318456235,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,low_resolution_0.25,low_resolution,0.25,miou,0.8042595237470948,,,,,,,1223,0.8453267494005402,0.04106722565344545,0.9514185187176816,0.1306509594081186,0.8042595237470948,0.9810776860105717,0.7385211306378919,0.693179754592821,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,brightness_minus_10,brightness,-10.0,balanced_accuracy,0.8711534468438538,0.8708094848732625,0.8711534468438538,0.8440000645848806,0.09104102513679013,0.21966492146887667,54,1223,0.8696895764119601,-0.0014638704318936657,1.001683210275939,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,brightness_minus_10,brightness,-10.0,balanced_accuracy,0.8427169850498339,0.8258381030253475,0.8427169850498339,0.7988463543174842,0.034313086106556895,0.24480938632455504,31,1223,0.8427169850498339,0.0,1.0,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,brightness_minus_10,brightness,-10.0,miou,0.568771786347217,,,,,,,1223,0.5732166180371466,0.004444831689929596,0.9922458080417313,0.43568940958167196,0.568771786347217,0.9520121835579086,0.18558715970653347,0.5687160157772092,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,brightness_minus_10,brightness,-10.0,miou,0.841584156661861,,,,,,,1223,0.8453267494005402,0.0037425927386791624,0.9955726081762665,0.1282294923212002,0.841584156661861,0.9837885469086209,0.7899963207377312,0.7509676023392312,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,brightness_minus_20,brightness,-20.0,balanced_accuracy,0.8757423172757475,0.8716271463614064,0.8757423172757475,0.845864549994421,0.1019631643229006,0.22159080566620196,56,1223,0.8696895764119601,-0.006052740863787376,1.0069596566728543,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,brightness_minus_20,brightness,-20.0,balanced_accuracy,0.8385831949058693,0.8242027800490597,0.8385831949058693,0.7963915829413245,0.033275326304229066,0.24561714413272215,30,1223,0.8427169850498339,0.004133790143964644,0.9950946875198912,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,brightness_minus_20,brightness,-20.0,miou,0.554999245372688,,,,,,,1223,0.5732166180371466,0.018217372664458664,0.9682190430437275,0.4366658065733241,0.554999245372688,0.9518597870045864,0.16615483732961983,0.5469831117838578,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,brightness_minus_20,brightness,-20.0,miou,0.8308118878796543,,,,,,,1223,0.8453267494005402,0.01451486152088588,0.9828292887558816,0.13069582962726378,0.8308118878796543,0.9823559119606071,0.7707796346521556,0.7393001170262002,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,brightness_minus_30,brightness,-30.0,balanced_accuracy,0.8734288482834994,0.866721177432543,0.8734288482834994,0.8409870260396518,0.09515519948251307,0.22470245967605312,61,1223,0.8696895764119601,-0.003739271871539329,1.004299547761589,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,brightness_minus_30,brightness,-30.0,balanced_accuracy,0.8385831949058693,0.8242027800490597,0.8385831949058693,0.7963915829413245,0.023826254164694975,0.24694868565514064,30,1223,0.8427169850498339,0.004133790143964644,0.9950946875198912,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,brightness_minus_30,brightness,-30.0,miou,0.5357712654339163,,,,,,,1223,0.5732166180371466,0.03744535260323034,0.9346750400721918,0.43200126401068084,0.5357712654339163,0.9514924595742874,0.14408475196967854,0.5117365847577828,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,brightness_minus_30,brightness,-30.0,miou,0.816206819375251,,,,,,,1223,0.8453267494005402,0.02911993002528923,0.9655518649493353,0.14809661413888597,0.816206819375251,0.9816060739054849,0.7555705172530781,0.71144386696719,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,contrast_0.9,contrast,0.9,balanced_accuracy,0.8691358665559247,0.8708094848732625,0.8691358665559247,0.8434855435895442,0.09187581055688743,0.21778264169629805,53,1223,0.8696895764119601,0.0005537098560354226,0.9993633247183209,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,contrast_0.9,contrast,0.9,balanced_accuracy,0.8427169850498339,0.8258381030253475,0.8427169850498339,0.7988463543174842,0.031859908889574025,0.24488559233588852,31,1223,0.8427169850498339,0.0,1.0,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,contrast_0.9,contrast,0.9,miou,0.570101186251327,,,,,,,1223,0.5732166180371466,0.0031154317858196334,0.9945650009302107,0.437807652896713,0.570101186251327,0.9520448570257557,0.1850411598385377,0.5732175418896877,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,contrast_0.9,contrast,0.9,miou,0.8449123437522273,,,,,,,1223,0.8453267494005402,0.0004144056483128544,0.9995097686798546,0.1262994915430186,0.8449123437522273,0.9844526575215613,0.8002478481161691,0.7500365256189515,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,contrast_0.7,contrast,0.7,balanced_accuracy,0.8639932862679955,0.8691741618969746,0.8639932862679955,0.8407085409136791,0.0982607860401431,0.21741049628071404,51,1223,0.8696895764119601,0.005696290143964555,0.9934502030397265,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,contrast_0.7,contrast,0.7,balanced_accuracy,0.8406994047619047,0.8258381030253475,0.8406994047619047,0.7982856147279169,0.027948885351931168,0.24658069843623281,32,1223,0.8427169850498339,0.0020175802879291993,0.9976058625567991,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,contrast_0.7,contrast,0.7,miou,0.5321782452684214,,,,,,,1223,0.5732166180371466,0.04103837276872524,0.9284068684029921,0.44422398032384675,0.5321782452684214,0.951774368088967,0.13100221429177109,0.5137581534245261,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,contrast_0.7,contrast,0.7,miou,0.8326670516794156,,,,,,,1223,0.8453267494005402,0.01265969772112463,0.9850239002491022,0.13189688704654823,0.8326670516794156,0.9835970466692369,0.7836301701713676,0.7307739381976422,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,contrast_0.5,contrast,0.5,balanced_accuracy,0.8625294158361019,0.8699918233851186,0.8625294158361019,0.8410318456237302,0.09334789770895205,0.21837158989886477,48,1223,0.8696895764119601,0.007160160575858221,0.9917669927637875,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,contrast_0.5,contrast,0.5,balanced_accuracy,0.8294660160575857,0.8152085036794767,0.8294660160575857,0.7867167726402864,0.021655870770589274,0.25122327461889005,33,1223,0.8427169850498339,0.013250968992248202,0.9842758966208986,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,contrast_0.5,contrast,0.5,miou,0.47605809910937635,,,,,,,1223,0.5732166180371466,0.09715851892777028,0.830502961933539,0.45167064803288764,0.47605809910937635,0.9501626685191715,0.06800086148083428,0.41001076732812325,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,contrast_0.5,contrast,0.5,miou,0.8092838632833571,,,,,,,1223,0.8453267494005402,0.03604288611718309,0.9573621843355332,0.15309967037061173,0.8092838632833571,0.9819124404832207,0.7587854107935477,0.687153738573303,representative CropAndWeed in-domain severity sweep,available
