model,model_label,train_dataset,external_test_dataset,metric,in_domain_estimate,external_estimate,drop_estimate,drop_ci_low,drop_ci_high,retention_estimate,retention_ci_low,retention_ci_high,n_in_domain,n_external,n_bootstrap,in_domain_source,external_source,task,status,test_dataset,estimate,ci_low,ci_high,n_images,reason
U-Net,,cropandweed,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,phenobench,0.3744,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
U-Net,,phenobench,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,cropandweed,0.4088,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
U-Net,,phenobench,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,phenobench,0.8806,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
UPerNet-Swin-T,,cropandweed,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,cropandweed,0.7848,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
UPerNet-Swin-T,,cropandweed,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,phenobench,0.3651,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
UPerNet-Swin-T,,phenobench,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,cropandweed,0.3781,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
UPerNet-Swin-T,,phenobench,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,phenobench,0.7943,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
RT-DETR-L,,cropandweed,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,cropandweed,0.5914,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
RT-DETR-L,,cropandweed,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,phenobench,0.2767,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
RT-DETR-L,,phenobench,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,cropandweed,0.2076,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
RT-DETR-L,,phenobench,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,phenobench,0.5072,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLO11m,,cropandweed,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,cropandweed,0.669,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLO11m,,cropandweed,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,phenobench,0.409,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLO11m,,phenobench,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,cropandweed,0.128,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLO11m,,phenobench,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,phenobench,0.625,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv12N,,cropandweed,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,cropandweed,0.644,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv12N,,cropandweed,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,phenobench,0.379,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv12N,,phenobench,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,cropandweed,0.182,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv12N,,phenobench,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,phenobench,0.614,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv5l6u,,cropandweed,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,cropandweed,0.661,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv5l6u,,cropandweed,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,phenobench,0.403,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv5l6u,,phenobench,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,cropandweed,0.176,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv5l6u,,phenobench,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,phenobench,0.627,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv8m,,cropandweed,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,cropandweed,0.668,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv8m,,cropandweed,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,phenobench,0.386,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv8m,,phenobench,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,cropandweed,0.18,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
YOLOv8m,,phenobench,,mAP50-95,,,,,,,,,,,0,,,detection,unavailable,phenobench,0.624,,,,COCO-style image-resampling bootstrap requires matched prediction and ground-truth records; not bundled locally.
