task,model,train_dataset,test_dataset,primary_metric_name,seeds,in_domain_score_mean,in_domain_score_std,in_domain_score_n,external_score_mean,external_score_std,external_score_n,absolute_drop_mean,absolute_drop_std,absolute_drop_n,retention_mean,retention_std,retention_n
detection,yolov5l6u,phenobench,cropandweed,mAP50,"0,1,2",0.7906666666666666,0.0023094010767585054,3,0.272,0.011357816691600525,3,0.5186666666666667,0.010692676621563575,3,0.3440047684971543,0.013993844521069233,3
detection,yolov8m,cropandweed,phenobench,mAP50,"0,1,2",0.8773333333333334,0.0011547005383792527,3,0.494,0.019000000000000017,3,0.3833333333333333,0.01817507450695413,3,0.5630566910405896,0.021122444687563878,3
detection,yolov8m,phenobench,cropandweed,mAP50,"0,1,2",0.7876666666666666,0.0035118845842842493,3,0.29266666666666663,0.0005773502691896263,3,0.49500000000000005,0.0040000000000000036,3,0.37156829062877117,0.0022967485260317845,3
segmentation,deeplabv3plus,cropandweed,phenobench,miou,"0,1,2",0.654470946646654,0.039380540624746496,3,0.26648964737786884,0.06497366492049118,3,0.38798129926878516,0.029490630446626347,3,0.4044422898086171,0.0743407475780641,3
segmentation,deeplabv3plus,phenobench,cropandweed,miou,"0,1,2",0.8742449056348046,0.0009837841998319025,3,0.42214522341341726,0.03979907517343005,3,0.45209968222138747,0.03912215676250929,3,0.4828450591712694,0.04517614594770307,3
segmentation,mask2former_swin_tiny,cropandweed,phenobench,miou,"0,1,2",0.8840006002797319,0.0034144660543774285,3,0.519651328002142,0.10649038615387377,3,0.36434927227759,0.10951305394617925,3,0.588119490084853,0.12224062548730255,3
segmentation,mask2former_swin_tiny,phenobench,cropandweed,miou,"0,1,2",0.8752463595588567,0.0007690477872585993,3,0.4428697494183878,0.009598132523546885,3,0.43237661014046885,0.009996792691027944,3,0.5059977909003222,0.01118921479961961,3
segmentation,segformer_b0,cropandweed,phenobench,miou,"0,1,2",0.8183921111861996,0.023330693338148717,3,0.5478936998543088,0.054925665967133684,3,0.27049841133189073,0.07057695013795375,3,0.6705274332157113,0.07926196194042434,3
segmentation,segformer_b0,phenobench,cropandweed,miou,"0,1,2",0.8573812333296464,0.007238608026371397,3,0.39606317610622527,0.013910093419401071,3,0.4613180572234212,0.02074652852250064,3,0.46205033288875014,0.019775529496524655,3
segmentation,unet,cropandweed,phenobench,miou,"0,1,2",0.5717167334087223,0.0027546826758352975,3,0.3761676090503645,0.0024306503462053625,3,0.1955491243583578,0.0028404721045779055,3,0.6579661808799266,0.004139269210100146,3
segmentation,unet,phenobench,cropandweed,miou,"0,1,2",0.8826625615134062,0.0018180289249795987,3,0.4314626535598878,0.019606218907102905,3,0.45119990795351833,0.0178046792842751,3,0.4887905789013814,0.02123925711536489,3
segmentation,upernet_swin_tiny,cropandweed,phenobench,miou,"0,1,2",0.7812175947928864,0.003868749795234445,3,0.36348353675139383,0.013938428901244105,3,0.4177340580414927,0.011631478158180001,3,0.46524529025835243,0.016385370689155923,3
segmentation,upernet_swin_tiny,phenobench,cropandweed,miou,"0,1,2",0.7929429448892442,0.002894096868036634,3,0.3746272753040741,0.003035505373233953,3,0.4183156695851702,0.0028790613479574034,3,0.4724509990865653,0.003255932009620796,3
