task,model,train_dataset,test_dataset,seed,primary_metric,in_domain_score,external_score,retention
detection,yolo11m,cropandweed,phenobench,1,mAP50,0.883,0.513,0.5809739524348811
detection,yolo11m,phenobench,cropandweed,1,mAP50,0.788,0.23,0.2918781725888325
detection,yolov12n,cropandweed,phenobench,1,mAP50,0.862,0.459,0.5324825986078887
detection,yolov12n,phenobench,cropandweed,1,mAP50,0.795,0.346,0.4352201257861635
detection,yolov5l6u,cropandweed,phenobench,1,mAP50,0.874,0.525,0.6006864988558352
detection,yolov5l6u,phenobench,cropandweed,1,mAP50,0.792,0.264,0.3333333333333333
detection,yolov8m,cropandweed,phenobench,1,mAP50,0.878,0.515,0.5865603644646925
detection,yolov8m,phenobench,cropandweed,1,mAP50,0.788,0.293,0.37182741116751267
segmentation,deeplabv3plus,cropandweed,phenobench,1,miou,0.6307223271981949,0.2472882499267551,0.39207150161508164
segmentation,deeplabv3plus,phenobench,cropandweed,1,miou,0.8741061032299116,0.45105851458672785,0.5160226120376239
segmentation,mask2former_swin_tiny,cropandweed,phenobench,1,miou,0.8874474919101055,0.3967020654394358,0.44701468994587
segmentation,mask2former_swin_tiny,phenobench,cropandweed,1,miou,0.8761112480288366,0.4353983947179316,0.4969670183981028
segmentation,segformer_b0,cropandweed,phenobench,1,miou,0.8053886884421021,0.6110954430824371,0.7587584129900127
segmentation,segformer_b0,phenobench,cropandweed,1,miou,0.8528041289551823,0.3987413431433011,0.46756497723788143
segmentation,unet,cropandweed,phenobench,1,miou,0.5685375862409399,0.3751140912116653,0.6597876733037947
segmentation,unet,phenobench,cropandweed,1,miou,0.8834165464005433,0.44223252346436737,0.5005934349613801
segmentation,upernet_swin_tiny,cropandweed,phenobench,1,miou,0.7770901488864898,0.34880492185179435,0.44886030578512015
segmentation,upernet_swin_tiny,phenobench,cropandweed,1,miou,0.7949481165806279,0.3733617201172123,0.46966803534698853
classification,convnextv2_tiny,cropandweed,phenobench,2,balanced_accuracy,0.8629083610188262,0.5616531165311653,0.6508838503639341
classification,convnextv2_tiny,phenobench,cropandweed,2,balanced_accuracy,0.5121951219512195,0.5566998892580288,1.086890259979961
classification,dinov2_small_linear,cropandweed,phenobench,2,balanced_accuracy,0.7875363372093023,0.5069743344492268,0.6437472285351692
classification,dinov2_small_linear,phenobench,cropandweed,2,balanced_accuracy,0.7079148732663797,0.5847989341085271,0.8260865199938728
classification,efficientnetv2_s,cropandweed,phenobench,2,balanced_accuracy,0.8628858665559247,0.5815000797066794,0.67390149989088
classification,efficientnetv2_s,phenobench,cropandweed,2,balanced_accuracy,0.5896301610074924,0.5012821843853821,0.8501637425209873
classification,resnet50,cropandweed,phenobench,2,balanced_accuracy,0.8410489341085272,0.5426430734895584,0.6451979801445619
classification,resnet50,phenobench,cropandweed,2,balanced_accuracy,0.5694245177745895,0.4564403377630122,0.8015818137702619
classification,swin_tiny,cropandweed,phenobench,2,balanced_accuracy,0.8708350636766335,0.5595408895265424,0.6425337160451272
classification,swin_tiny,phenobench,cropandweed,2,balanced_accuracy,0.524390243902439,0.531500899778516,1.0135598553915885
detection,rtdetr_l,cropandweed,phenobench,2,mAP50,0.813250992779613,0.3932981695590806,0.48361228335525985
detection,rtdetr_l,phenobench,cropandweed,2,mAP50,0.6990242965963656,0.35626954662033444,0.509666900499817
detection,yolo11m,cropandweed,phenobench,2,mAP50,0.88,0.526,0.5977272727272728
detection,yolo11m,phenobench,cropandweed,2,mAP50,0.794,0.263,0.33123425692695213
detection,yolov12n,cropandweed,phenobench,2,mAP50,0.865,0.478,0.5526011560693641
detection,yolov12n,phenobench,cropandweed,2,mAP50,0.791,0.337,0.42604298356510745
detection,yolov5l6u,cropandweed,phenobench,2,mAP50,0.87,0.541,0.6218390804597702
detection,yolov5l6u,phenobench,cropandweed,2,mAP50,0.788,0.267,0.33883248730964466
detection,yolov8m,cropandweed,phenobench,2,mAP50,0.876,0.478,0.545662100456621
detection,yolov8m,phenobench,cropandweed,2,mAP50,0.791,0.292,0.3691529709228824
segmentation,deeplabv3plus,cropandweed,phenobench,2,miou,0.6327620866929554,0.21328065827468756,0.33706295424457206
segmentation,deeplabv3plus,phenobench,cropandweed,2,miou,0.8733378941319182,0.37675344278897915,0.4313948190275943
segmentation,mask2former_swin_tiny,cropandweed,phenobench,2,miou,0.8806195109555719,0.5828027030522948,0.6618098915613257
segmentation,mask2former_swin_tiny,phenobench,cropandweed,2,miou,0.874988301246347,0.45369473506664804,0.5185152011980025
segmentation,segformer_b0,cropandweed,phenobench,2,miou,0.8044608957159564,0.5208736056445122,0.647481572340373
segmentation,segformer_b0,phenobench,cropandweed,2,miou,0.8536129684634753,0.40843945860276715,0.47848319284320195
segmentation,unet,cropandweed,phenobench,2,miou,0.5733959959480804,0.3789472852403135,0.6608823359740137
segmentation,unet,phenobench,cropandweed,2,miou,0.8839822892189897,0.4433233338913564,0.5015070316431776
segmentation,upernet_swin_tiny,cropandweed,phenobench,2,miou,0.7818013286598234,0.37653979257484355,0.4816310471361237
segmentation,upernet_swin_tiny,phenobench,cropandweed,2,miou,0.7896251351779976,0.372429316169604,0.4716533195028687
