sample_id,object_id,label,label_id,x_min,y_min,x_max,y_max,area,source
cwfid_004,9,crop,1,760,97,925,231,14386.0,cwfid_polygon_extent
cwfid_004,10,weed,2,510,50,704,308,32576.5,cwfid_polygon_extent
cwfid_004,11,weed,2,676,79,819,289,16278.5,cwfid_polygon_extent
cwfid_005,0,weed,2,517,127,762,332,31681.5,cwfid_polygon_extent
cwfid_005,1,crop,1,810,247,972,398,14864.5,cwfid_polygon_extent
cwfid_005,2,crop,1,679,890,885,966,11452.0,cwfid_polygon_extent
cwfid_005,3,weed,2,665,0,948,177,27513.0,cwfid_polygon_extent
cwfid_005,4,weed,2,990,0,1148,139,15563.5,cwfid_polygon_extent
cwfid_005,5,weed,2,368,282,557,454,22664.0,cwfid_polygon_extent
cwfid_006,0,crop,1,723,734,898,857,12599.0,cwfid_polygon_extent
cwfid_006,1,crop,1,735,835,898,965,15512.0,cwfid_polygon_extent
cwfid_006,2,weed,2,563,333,747,510,19386.5,cwfid_polygon_extent
cwfid_006,3,weed,2,465,144,678,318,19089.5,cwfid_polygon_extent
cwfid_006,4,weed,2,647,192,758,322,8780.0,cwfid_polygon_extent
cwfid_006,5,crop,1,749,279,960,485,26797.5,cwfid_polygon_extent
cwfid_006,6,weed,2,680,1,837,293,23453.0,cwfid_polygon_extent
cwfid_006,7,crop,1,771,4,900,234,19599.0,cwfid_polygon_extent
cwfid_006,8,crop,1,625,581,784,721,15800.5,cwfid_polygon_extent
cwfid_006,9,weed,2,434,496,728,753,49338.5,cwfid_polygon_extent
cwfid_007,0,weed,2,994,322,1132,441,8741.5,cwfid_polygon_extent
cwfid_007,1,weed,2,831,788,919,928,7280.0,cwfid_polygon_extent
cwfid_007,2,crop,1,763,614,937,792,22988.0,cwfid_polygon_extent
cwfid_007,3,weed,2,333,629,563,831,34425.5,cwfid_polygon_extent
cwfid_007,4,weed,2,531,570,734,834,34502.5,cwfid_polygon_extent
cwfid_007,5,weed,2,734,0,1154,458,115441.5,cwfid_polygon_extent
cwfid_007,6,weed,2,312,256,692,595,62950.0,cwfid_polygon_extent
cwfid_007,7,weed,2,555,311,726,492,21421.0,cwfid_polygon_extent
cwfid_007,8,weed,2,669,461,778,644,10774.0,cwfid_polygon_extent
cwfid_007,9,weed,2,231,423,532,712,53322.5,cwfid_polygon_extent
cwfid_007,10,crop,1,615,0,777,205,21268.0,cwfid_polygon_extent
cwfid_007,11,crop,1,713,325,956,607,41101.0,cwfid_polygon_extent
cwfid_008,0,weed,2,335,576,645,896,57248.5,cwfid_polygon_extent
cwfid_008,1,weed,2,6,592,197,850,27412.0,cwfid_polygon_extent
cwfid_008,2,weed,2,817,607,1158,963,56468.0,cwfid_polygon_extent
cwfid_008,3,weed,2,740,887,906,964,9754.0,cwfid_polygon_extent
cwfid_008,4,crop,1,709,564,897,716,19807.0,cwfid_polygon_extent
cwfid_008,5,weed,2,700,779,813,870,7195.5,cwfid_polygon_extent
cwfid_008,6,crop,1,756,333,880,442,9792.0,cwfid_polygon_extent
cwfid_008,7,weed,2,557,64,963,478,95178.0,cwfid_polygon_extent
cwfid_009,0,weed,2,308,444,526,848,59954.5,cwfid_polygon_extent
cwfid_009,1,weed,2,457,650,457,650,0.0,cwfid_polygon_extent
cwfid_009,2,weed,2,456,469,929,957,120036.0,cwfid_polygon_extent
cwfid_009,3,weed,2,819,406,1032,667,37994.5,cwfid_polygon_extent
cwfid_009,4,crop,1,645,1,844,126,18988.5,cwfid_polygon_extent
cwfid_009,5,crop,1,671,91,844,233,17159.5,cwfid_polygon_extent
cwfid_009,6,crop,1,712,252,871,469,24023.0,cwfid_polygon_extent
cwfid_010,0,weed,2,600,128,752,261,11081.5,cwfid_polygon_extent
cwfid_010,1,weed,2,943,25,1112,321,30717.0,cwfid_polygon_extent
cwfid_010,2,weed,2,419,648,741,927,64524.0,cwfid_polygon_extent
cwfid_010,3,weed,2,574,2,704,85,7789.0,cwfid_polygon_extent
cwfid_010,4,weed,2,611,109,1017,566,112451.0,cwfid_polygon_extent
cwfid_010,5,crop,1,666,0,845,198,27860.0,cwfid_polygon_extent
cwfid_011,0,weed,2,862,296,1029,496,20860.5,cwfid_polygon_extent
cwfid_011,1,weed,2,230,609,524,965,67365.0,cwfid_polygon_extent
cwfid_011,2,weed,2,577,499,772,783,37607.5,cwfid_polygon_extent
cwfid_011,3,crop,1,679,389,846,513,16139.5,cwfid_polygon_extent
cwfid_011,4,crop,1,713,516,834,645,11750.0,cwfid_polygon_extent
cwfid_011,5,crop,1,719,666,868,856,18678.5,cwfid_polygon_extent
cwfid_011,6,weed,2,235,2,593,243,55985.5,cwfid_polygon_extent
cwfid_011,7,weed,2,683,65,1194,287,77131.0,cwfid_polygon_extent
cwfid_011,8,crop,1,695,841,871,965,14510.5,cwfid_polygon_extent
cwfid_012,0,crop,1,708,237,870,329,10277.0,cwfid_polygon_extent
cwfid_012,1,crop,1,716,789,820,883,7483.0,cwfid_polygon_extent
cwfid_012,2,weed,2,530,290,976,694,113964.5,cwfid_polygon_extent
cwfid_013,0,weed,2,548,310,707,474,20605.0,cwfid_polygon_extent
cwfid_013,1,weed,2,375,373,532,526,14146.0,cwfid_polygon_extent
cwfid_013,2,weed,2,84,280,270,567,35600.5,cwfid_polygon_extent
cwfid_013,3,weed,2,625,588,727,647,4576.0,cwfid_polygon_extent
cwfid_013,4,crop,1,706,157,845,337,15726.0,cwfid_polygon_extent
cwfid_013,5,crop,1,672,749,784,963,16035.5,cwfid_polygon_extent
cwfid_013,6,crop,1,685,641,833,782,13533.5,cwfid_polygon_extent
cwfid_013,7,crop,1,695,487,834,697,18466.0,cwfid_polygon_extent
cwfid_013,8,weed,2,675,306,869,487,24973.0,cwfid_polygon_extent
cwfid_013,9,weed,2,951,590,1295,960,88707.5,cwfid_polygon_extent
cwfid_014,0,weed,2,142,687,543,949,74549.0,cwfid_polygon_extent
cwfid_014,1,weed,2,885,804,1026,919,12461.0,cwfid_polygon_extent
cwfid_014,2,crop,1,694,402,828,580,14643.0,cwfid_polygon_extent
cwfid_014,3,weed,2,621,484,1158,911,106468.5,cwfid_polygon_extent
cwfid_015,0,weed,2,394,518,595,769,29509.5,cwfid_polygon_extent
cwfid_015,1,weed,2,864,300,1211,721,92322.0,cwfid_polygon_extent
cwfid_015,2,weed,2,561,577,703,662,8852.0,cwfid_polygon_extent
cwfid_015,3,crop,1,665,456,868,600,16101.5,cwfid_polygon_extent
cwfid_015,4,crop,1,664,760,868,966,31595.0,cwfid_polygon_extent
cwfid_016,0,weed,2,683,516,893,804,33599.5,cwfid_polygon_extent
cwfid_016,1,weed,2,542,5,695,164,14522.5,cwfid_polygon_extent
cwfid_016,2,weed,2,670,686,1036,965,53246.5,cwfid_polygon_extent
cwfid_016,3,crop,1,733,868,841,949,6854.0,cwfid_polygon_extent
cwfid_016,4,weed,2,461,402,727,658,40771.5,cwfid_polygon_extent
cwfid_016,5,crop,1,663,0,806,164,15953.0,cwfid_polygon_extent
cwfid_016,6,weed,2,442,22,921,422,99888.0,cwfid_polygon_extent
cwfid_017,0,weed,2,453,42,652,305,31372.0,cwfid_polygon_extent
cwfid_017,1,weed,2,684,379,933,562,36085.0,cwfid_polygon_extent
cwfid_017,2,weed,2,966,3,1140,148,18965.0,cwfid_polygon_extent
cwfid_017,3,weed,2,802,55,973,246,21620.0,cwfid_polygon_extent
cwfid_017,4,crop,1,740,80,832,219,8571.0,cwfid_polygon_extent
cwfid_017,5,crop,1,661,292,834,392,9882.0,cwfid_polygon_extent
cwfid_017,6,crop,1,617,588,866,749,27304.5,cwfid_polygon_extent
cwfid_017,7,crop,1,688,906,804,965,5193.5,cwfid_polygon_extent
cwfid_017,8,weed,2,330,326,397,408,3416.0,cwfid_polygon_extent
cwfid_018,0,weed,2,685,200,685,200,0.0,cwfid_polygon_extent
cwfid_018,1,weed,2,206,797,440,965,26705.0,cwfid_polygon_extent
cwfid_018,2,weed,2,539,1,773,150,23609.5,cwfid_polygon_extent
cwfid_018,3,crop,1,711,0,842,80,7380.0,cwfid_polygon_extent
cwfid_018,4,crop,1,615,567,851,731,28621.5,cwfid_polygon_extent
cwfid_018,5,crop,1,700,722,826,906,18261.5,cwfid_polygon_extent
cwfid_018,6,weed,2,662,232,911,531,51447.5,cwfid_polygon_extent
cwfid_018,7,weed,2,662,68,1134,267,55716.0,cwfid_polygon_extent
cwfid_018,8,weed,2,916,268,1113,541,37534.0,cwfid_polygon_extent
cwfid_019,0,crop,1,676,48,879,269,27537.5,cwfid_polygon_extent
cwfid_019,1,crop,1,740,267,866,340,6442.5,cwfid_polygon_extent
cwfid_019,2,crop,1,717,406,837,492,7498.5,cwfid_polygon_extent
cwfid_019,3,crop,1,623,558,834,671,13301.5,cwfid_polygon_extent
cwfid_019,4,weed,2,180,0,461,314,58547.5,cwfid_polygon_extent
cwfid_019,5,weed,2,661,312,807,401,9416.5,cwfid_polygon_extent
cwfid_019,6,weed,2,770,783,982,931,21954.5,cwfid_polygon_extent
cwfid_020,0,crop,1,694,563,849,741,17042.0,cwfid_polygon_extent
cwfid_020,1,crop,1,699,747,799,900,10215.0,cwfid_polygon_extent
cwfid_020,2,weed,2,88,711,245,861,16821.0,cwfid_polygon_extent
cwfid_020,3,crop,1,682,216,906,411,29398.0,cwfid_polygon_extent
cwfid_021,0,crop,1,863,27,1132,214,29720.5,cwfid_polygon_extent
cwfid_021,1,weed,2,998,149,1147,305,12692.0,cwfid_polygon_extent
cwfid_021,2,crop,1,952,211,1088,377,14325.5,cwfid_polygon_extent
cwfid_021,3,weed,2,606,447,718,519,6024.5,cwfid_polygon_extent
cwfid_022,0,crop,1,772,388,1099,623,37119.0,cwfid_polygon_extent
cwfid_022,1,crop,1,988,128,1147,290,14195.5,cwfid_polygon_extent
cwfid_022,2,crop,1,973,66,1076,169,7745.0,cwfid_polygon_extent
cwfid_022,3,weed,2,200,0,547,252,65710.0,cwfid_polygon_extent
cwfid_022,4,weed,2,737,122,1132,413,60587.0,cwfid_polygon_extent
cwfid_022,5,crop,1,880,163,1057,252,6907.5,cwfid_polygon_extent
cwfid_022,6,weed,2,910,674,1153,875,34283.0,cwfid_polygon_extent
cwfid_023,0,crop,1,824,14,952,134,9345.0,cwfid_polygon_extent
cwfid_023,1,crop,1,933,125,1032,293,12633.0,cwfid_polygon_extent
cwfid_023,2,weed,2,1132,113,1212,179,3924.5,cwfid_polygon_extent
cwfid_023,3,weed,2,433,363,632,572,32128.5,cwfid_polygon_extent
cwfid_023,4,weed,2,513,850,621,949,7383.0,cwfid_polygon_extent
cwfid_023,5,weed,2,851,352,1260,657,85491.0,cwfid_polygon_extent
cwfid_023,6,weed,2,834,652,1274,963,82783.0,cwfid_polygon_extent
cwfid_023,7,weed,2,612,3,752,127,14474.5,cwfid_polygon_extent
cwfid_024,0,weed,2,273,250,555,619,78834.5,cwfid_polygon_extent
cwfid_024,1,weed,2,328,17,814,329,76977.5,cwfid_polygon_extent
cwfid_024,2,crop,1,948,107,1059,221,8772.0,cwfid_polygon_extent
cwfid_024,3,weed,2,1035,270,1295,574,46268.5,cwfid_polygon_extent
cwfid_024,4,weed,2,412,0,681,62,10031.0,cwfid_polygon_extent
cwfid_024,5,weed,2,0,0,119,120,9300.0,cwfid_polygon_extent
cwfid_025,0,weed,2,15,808,96,925,5935.0,cwfid_polygon_extent
cwfid_025,1,weed,2,554,357,832,662,60186.5,cwfid_polygon_extent
cwfid_025,2,weed,2,574,543,981,942,109083.5,cwfid_polygon_extent
cwfid_025,3,crop,1,889,628,1087,875,32723.0,cwfid_polygon_extent
cwfid_025,4,crop,1,914,211,1143,346,20998.0,cwfid_polygon_extent
cwfid_025,5,crop,1,858,13,1078,212,29619.0,cwfid_polygon_extent
cwfid_026,0,weed,2,197,70,335,201,14238.5,cwfid_polygon_extent
cwfid_026,1,weed,2,699,614,911,965,61507.5,cwfid_polygon_extent
cwfid_026,2,weed,2,951,710,1090,849,13139.5,cwfid_polygon_extent
cwfid_026,3,weed,2,994,121,1284,440,55761.5,cwfid_polygon_extent
cwfid_026,4,crop,1,900,0,1048,91,10379.0,cwfid_polygon_extent
cwfid_027,0,weed,2,233,333,602,666,83531.0,cwfid_polygon_extent
cwfid_027,1,crop,1,899,650,1112,901,41108.0,cwfid_polygon_extent
cwfid_027,2,weed,2,996,134,1295,534,75642.5,cwfid_polygon_extent
cwfid_027,3,weed,2,373,908,513,965,6359.5,cwfid_polygon_extent
cwfid_027,4,weed,2,107,645,232,779,13943.0,cwfid_polygon_extent
cwfid_027,5,crop,1,960,340,1083,494,11817.0,cwfid_polygon_extent
cwfid_027,6,weed,2,105,0,240,105,12697.5,cwfid_polygon_extent
cwfid_027,7,crop,1,837,7,1087,238,36103.0,cwfid_polygon_extent
cwfid_028,0,weed,2,928,581,1034,702,7574.0,cwfid_polygon_extent
cwfid_028,1,weed,2,370,326,491,485,10550.5,cwfid_polygon_extent
cwfid_028,2,weed,2,917,0,1233,218,41810.0,cwfid_polygon_extent
cwfid_028,3,weed,2,876,202,1281,541,83534.5,cwfid_polygon_extent
cwfid_028,4,crop,1,948,460,1048,557,6900.5,cwfid_polygon_extent
cwfid_028,5,weed,2,970,0,1067,69,5166.5,cwfid_polygon_extent
cwfid_028,6,weed,2,664,0,989,99,24788.0,cwfid_polygon_extent
cwfid_028,7,crop,1,918,681,1056,830,11965.5,cwfid_polygon_extent
cwfid_028,8,crop,1,958,870,1151,965,11515.0,cwfid_polygon_extent
cwfid_028,9,weed,2,772,632,1285,936,84359.0,cwfid_polygon_extent
cwfid_028,10,weed,2,1155,538,1255,647,7653.5,cwfid_polygon_extent
cwfid_028,11,weed,2,1027,536,1152,622,8414.0,cwfid_polygon_extent
cwfid_028,12,weed,2,441,2,521,50,2902.5,cwfid_polygon_extent
cwfid_028,13,crop,1,913,125,998,219,4818.5,cwfid_polygon_extent
cwfid_029,0,weed,2,824,468,974,636,18378.0,cwfid_polygon_extent
cwfid_029,1,weed,2,752,6,1014,287,48629.5,cwfid_polygon_extent
cwfid_029,2,weed,2,120,373,603,799,156380.5,cwfid_polygon_extent
cwfid_029,3,weed,2,921,594,1005,693,5984.0,cwfid_polygon_extent
cwfid_029,4,crop,1,953,180,1065,288,8402.0,cwfid_polygon_extent
cwfid_029,5,weed,2,852,2,1292,569,139539.0,cwfid_polygon_extent
cwfid_029,6,weed,2,537,572,1029,965,81416.0,cwfid_polygon_extent
cwfid_029,7,weed,2,736,826,1045,965,33007.0,cwfid_polygon_extent
cwfid_029,8,weed,2,1004,696,1295,933,51240.5,cwfid_polygon_extent
cwfid_030,0,crop,1,870,361,1095,563,34969.0,cwfid_polygon_extent
cwfid_030,1,crop,1,876,563,1047,695,12096.5,cwfid_polygon_extent
cwfid_030,2,weed,2,950,658,1102,742,8214.0,cwfid_polygon_extent
cwfid_030,3,weed,2,1039,720,1162,881,13546.5,cwfid_polygon_extent
cwfid_030,4,weed,2,934,25,1014,103,3590.0,cwfid_polygon_extent
cwfid_031,0,crop,1,734,0,977,134,23176.5,cwfid_polygon_extent
cwfid_031,1,weed,2,430,119,909,674,145767.0,cwfid_polygon_extent
cwfid_031,2,crop,1,694,796,941,947,28110.5,cwfid_polygon_extent
cwfid_031,3,crop,1,832,165,954,267,7633.5,cwfid_polygon_extent
cwfid_031,4,weed,2,495,616,803,846,40031.0,cwfid_polygon_extent
cwfid_031,5,weed,2,1159,749,1294,845,8465.0,cwfid_polygon_extent
cwfid_031,6,weed,2,846,505,972,637,11281.5,cwfid_polygon_extent
cwfid_031,7,weed,2,195,195,375,284,11802.5,cwfid_polygon_extent
cwfid_032,0,crop,1,762,267,908,428,13433.5,cwfid_polygon_extent
cwfid_032,1,crop,1,791,414,971,612,21604.5,cwfid_polygon_extent
cwfid_032,2,weed,2,731,5,1208,340,101918.0,cwfid_polygon_extent
cwfid_032,3,weed,2,1115,0,1290,129,18169.0,cwfid_polygon_extent
cwfid_032,4,weed,2,556,278,772,446,25632.5,cwfid_polygon_extent
cwfid_032,5,weed,2,301,609,786,901,103571.0,cwfid_polygon_extent
cwfid_032,6,crop,1,842,610,947,775,13784.5,cwfid_polygon_extent
cwfid_032,7,crop,1,712,811,923,965,27094.0,cwfid_polygon_extent
cwfid_033,0,weed,2,543,403,718,586,16958.5,cwfid_polygon_extent
cwfid_033,1,weed,2,524,685,673,791,11877.5,cwfid_polygon_extent
cwfid_033,2,weed,2,418,531,571,699,20451.0,cwfid_polygon_extent
cwfid_033,3,weed,2,747,83,947,313,23733.0,cwfid_polygon_extent
cwfid_033,4,crop,1,741,255,948,380,15726.5,cwfid_polygon_extent
cwfid_033,5,crop,1,818,0,938,84,7327.5,cwfid_polygon_extent
cwfid_033,6,weed,2,704,2,807,101,7277.0,cwfid_polygon_extent
cwfid_033,7,weed,2,824,736,966,858,12747.5,cwfid_polygon_extent
cwfid_033,8,weed,2,28,875,117,965,5398.0,cwfid_polygon_extent
cwfid_033,9,crop,1,714,43,832,194,11090.0,cwfid_polygon_extent
cwfid_033,10,weed,2,654,539,820,799,26636.0,cwfid_polygon_extent
cwfid_034,0,weed,2,486,0,607,99,9617.5,cwfid_polygon_extent
cwfid_034,1,weed,2,661,0,890,202,31513.5,cwfid_polygon_extent
cwfid_034,2,weed,2,808,203,1295,666,147374.0,cwfid_polygon_extent
cwfid_034,3,weed,2,509,605,841,879,54545.5,cwfid_polygon_extent
cwfid_034,4,crop,1,808,640,913,721,6075.0,cwfid_polygon_extent
cwfid_034,5,weed,2,819,0,1057,332,47900.5,cwfid_polygon_extent
cwfid_034,6,weed,2,680,642,1049,962,64406.0,cwfid_polygon_extent
cwfid_034,7,crop,1,783,732,887,841,8332.5,cwfid_polygon_extent
cwfid_034,8,weed,2,616,879,721,964,5298.0,cwfid_polygon_extent
cwfid_035,0,crop,1,763,372,962,568,29857.0,cwfid_polygon_extent
cwfid_035,1,crop,1,781,568,954,733,17364.5,cwfid_polygon_extent
cwfid_035,2,crop,1,743,840,1004,960,22799.5,cwfid_polygon_extent
cwfid_035,3,crop,1,684,0,942,57,8976.5,cwfid_polygon_extent
cwfid_035,4,weed,2,266,162,386,296,11792.0,cwfid_polygon_extent
cwfid_035,5,weed,2,404,466,576,643,19734.0,cwfid_polygon_extent
cwfid_035,6,weed,2,592,642,1009,893,64549.5,cwfid_polygon_extent
cwfid_035,7,crop,1,689,34,970,219,32554.0,cwfid_polygon_extent
cwfid_035,8,crop,1,750,156,975,380,31703.5,cwfid_polygon_extent
cwfid_036,0,weed,2,400,62,624,235,29510.5,cwfid_polygon_extent
cwfid_036,1,weed,2,415,454,520,554,7106.5,cwfid_polygon_extent
cwfid_036,2,weed,2,680,324,971,780,59489.0,cwfid_polygon_extent
cwfid_036,3,crop,1,701,177,870,336,18796.0,cwfid_polygon_extent
cwfid_036,4,weed,2,94,602,216,709,9570.0,cwfid_polygon_extent
cwfid_036,5,weed,2,0,596,98,720,9922.0,cwfid_polygon_extent
cwfid_036,6,weed,2,1,704,89,863,10650.0,cwfid_polygon_extent
cwfid_036,7,weed,2,0,301,53,417,4272.5,cwfid_polygon_extent
cwfid_036,8,weed,2,82,176,201,248,5260.5,cwfid_polygon_extent
cwfid_036,9,weed,2,1091,4,1185,92,5932.0,cwfid_polygon_extent
cwfid_036,10,weed,2,906,25,1049,163,11514.5,cwfid_polygon_extent
cwfid_036,11,crop,1,781,0,930,138,14248.0,cwfid_polygon_extent
cwfid_036,12,weed,2,1020,449,1292,680,42097.5,cwfid_polygon_extent
cwfid_036,13,weed,2,631,662,817,892,29679.0,cwfid_polygon_extent
cwfid_036,14,weed,2,936,315,1167,664,52692.0,cwfid_polygon_extent
cwfid_036,15,weed,2,783,879,870,965,5749.5,cwfid_polygon_extent
cwfid_037,0,crop,1,691,453,1015,697,51834.5,cwfid_polygon_extent
cwfid_037,1,crop,1,805,281,961,415,14522.5,cwfid_polygon_extent
cwfid_037,2,crop,1,716,825,854,966,13062.5,cwfid_polygon_extent
cwfid_037,3,weed,2,846,910,1002,964,6551.0,cwfid_polygon_extent
cwfid_037,4,weed,2,582,414,735,530,12062.5,cwfid_polygon_extent
cwfid_037,5,weed,2,596,0,762,155,17238.0,cwfid_polygon_extent
cwfid_037,6,crop,1,672,52,890,194,19876.5,cwfid_polygon_extent
cwfid_038,0,crop,1,661,190,892,381,31572.0,cwfid_polygon_extent
cwfid_038,1,weed,2,723,329,1026,513,31388.5,cwfid_polygon_extent
cwfid_038,2,weed,2,695,434,896,577,11287.5,cwfid_polygon_extent
cwfid_038,3,weed,2,841,741,1112,965,38545.5,cwfid_polygon_extent
cwfid_038,4,weed,2,712,660,914,789,16545.5,cwfid_polygon_extent
cwfid_038,5,weed,2,581,907,724,966,6300.0,cwfid_polygon_extent
cwfid_038,6,weed,2,125,345,238,464,9546.5,cwfid_polygon_extent
cwfid_038,7,weed,2,254,45,391,208,16645.0,cwfid_polygon_extent
cwfid_038,8,weed,2,712,1,1064,243,54762.0,cwfid_polygon_extent
cwfid_038,9,weed,2,641,1,759,125,9488.5,cwfid_polygon_extent
cwfid_038,10,weed,2,689,502,1018,721,43705.5,cwfid_polygon_extent
cwfid_039,0,crop,1,741,177,880,310,12417.5,cwfid_polygon_extent
cwfid_039,1,crop,1,690,474,963,641,34050.5,cwfid_polygon_extent
cwfid_039,2,weed,2,590,2,796,242,26672.5,cwfid_polygon_extent
cwfid_039,3,weed,2,840,0,1055,130,14798.5,cwfid_polygon_extent
cwfid_039,4,weed,2,709,626,827,723,6307.0,cwfid_polygon_extent
cwfid_039,5,crop,1,773,787,911,894,10369.0,cwfid_polygon_extent
cwfid_039,6,weed,2,246,623,412,766,19140.0,cwfid_polygon_extent
cwfid_039,7,weed,2,467,513,564,623,8380.5,cwfid_polygon_extent
cwfid_039,8,weed,2,499,554,745,716,22590.5,cwfid_polygon_extent
cwfid_040,0,crop,1,617,2,950,176,36087.0,cwfid_polygon_extent
cwfid_040,1,weed,2,284,523,392,643,9536.0,cwfid_polygon_extent
cwfid_040,2,weed,2,1052,6,1294,277,50092.5,cwfid_polygon_extent
cwfid_040,3,weed,2,399,232,1049,929,246422.5,cwfid_polygon_extent
cwfid_040,4,weed,2,574,882,839,966,15082.5,cwfid_polygon_extent
cwfid_040,5,weed,2,0,364,118,519,13787.5,cwfid_polygon_extent
cwfid_040,6,crop,1,769,140,874,280,9028.5,cwfid_polygon_extent
cwfid_040,7,weed,2,782,787,947,965,20568.0,cwfid_polygon_extent
cwfid_040,8,weed,2,1180,284,1294,388,7959.5,cwfid_polygon_extent
cwfid_041,0,crop,1,432,168,619,391,24259.0,cwfid_polygon_extent
cwfid_041,1,weed,2,533,95,731,297,24593.0,cwfid_polygon_extent
cwfid_041,2,weed,2,358,41,597,220,24846.0,cwfid_polygon_extent
cwfid_041,3,weed,2,327,360,536,546,21732.5,cwfid_polygon_extent
cwfid_041,4,weed,2,408,447,717,717,51997.5,cwfid_polygon_extent
cwfid_041,5,weed,2,267,528,435,781,30862.5,cwfid_polygon_extent
cwfid_041,6,crop,1,542,672,701,837,18866.0,cwfid_polygon_extent
cwfid_041,7,crop,1,529,912,615,964,3768.5,cwfid_polygon_extent
cwfid_042,0,weed,2,749,259,1019,448,36717.5,cwfid_polygon_extent
cwfid_042,1,crop,1,477,0,700,100,15364.5,cwfid_polygon_extent
cwfid_042,2,weed,2,30,588,313,914,57085.0,cwfid_polygon_extent
cwfid_042,3,crop,1,490,663,639,817,15675.0,cwfid_polygon_extent
cwfid_042,4,weed,2,1033,395,1128,544,11471.0,cwfid_polygon_extent
cwfid_042,5,crop,1,527,316,720,473,19308.5,cwfid_polygon_extent
cwfid_043,0,weed,2,898,210,1199,502,56825.0,cwfid_polygon_extent
cwfid_043,1,weed,2,189,0,354,103,10707.5,cwfid_polygon_extent
cwfid_043,2,weed,2,141,266,374,515,39029.5,cwfid_polygon_extent
cwfid_043,3,weed,2,373,232,550,396,18958.5,cwfid_polygon_extent
cwfid_043,4,crop,1,524,233,647,355,9218.0,cwfid_polygon_extent
cwfid_043,5,crop,1,445,82,642,265,22133.0,cwfid_polygon_extent
